"","CCLE","ccls_1088_expression","GDSC2"
"1","ACH-000873",NA,NA
"2","ACH-000860",NA,NA
"3","ACH-000439",NA,NA
"4","ACH-000318",NA,NA
"5","ACH-001142",NA,NA
"6","ACH-000789",NA,NA
"7","ACH-000544",NA,NA
"8","ACH-000531",NA,NA
"9","ACH-000695",NA,NA
"10","ACH-000399",NA,NA
"11","ACH-000175",NA,NA
"12","ACH-000990",NA,NA
"13","ACH-000341",NA,NA
"14","ACH-000424",NA,NA
"15","ACH-000495",NA,NA
"16","ACH-001200",NA,NA
"17","ACH-000427",NA,NA
"18","ACH-000612",NA,NA
"19","ACH-000834",NA,NA
"20","ACH-000571",NA,NA
"21","ACH-000694",NA,NA
"22","ACH-000590",NA,NA
"23","ACH-000686",NA,NA
"24","ACH-000993",NA,NA
"25","ACH-000308",NA,NA
"26","ACH-000397",NA,NA
"27","ACH-001210",NA,NA
"28","ACH-000421",NA,NA
"29","ACH-000882",NA,NA
"30","ACH-000864",NA,NA
"31","ACH-000317",NA,NA
"32","ACH-000577",NA,NA
"33","ACH-000937",NA,NA
"34","ACH-000433",NA,NA
"35","ACH-000296",NA,NA
"36","ACH-000417",NA,NA
"37","ACH-000595",NA,NA
"38","ACH-000061",NA,NA
"39","ACH-000722",NA,NA
"40","ACH-000947",NA,NA
"41","ACH-000219",NA,NA
"42","ACH-000277",NA,NA
"43","ACH-000225",NA,NA
"44","ACH-000788",NA,NA
"45","ACH-000096",NA,NA
"46","ACH-000966",NA,NA
"47","ACH-000921",NA,NA
"48","ACH-000522",NA,NA
"49","ACH-000733",NA,NA
"50","ACH-000322",NA,NA
"51","ACH-000182",NA,NA
"52","ACH-000023",NA,NA
"53","ACH-000542",NA,NA
"54","ACH-000728",NA,NA
"55","ACH-000634",NA,NA
"56","ACH-000290",NA,NA
"57","ACH-000997",NA,NA
"58","ACH-000388",NA,NA
"59","ACH-000867",NA,NA
"60","ACH-000135",NA,NA
"61","ACH-000624",NA,NA
"62","ACH-000818",NA,NA
"63","ACH-000504",NA,NA
"64","ACH-000965",NA,NA
"65","ACH-000836",NA,NA
"66","ACH-000735",NA,NA
"67","ACH-000235",NA,NA
"68","ACH-000102",NA,NA
"69","ACH-000521",NA,NA
"70","ACH-000431",NA,NA
"71","ACH-000732",NA,NA
"72","ACH-000967",NA,NA
"73","ACH-000221",NA,NA
"74","ACH-000871",NA,NA
"75","ACH-000014",NA,NA
"76","ACH-000197",NA,NA
"77","ACH-000930",NA,NA
"78","ACH-000393",NA,NA
"79","ACH-000887",NA,NA
"80","ACH-000985",NA,NA
"81","ACH-000952",NA,NA
"82","ACH-000231",NA,NA
"83","ACH-000087",NA,NA
"84","ACH-000294",NA,NA
"85","ACH-000053",NA,NA
"86","ACH-000578",NA,NA
"87","ACH-000591",NA,NA
"88","ACH-000995",NA,NA
"89","ACH-000339",NA,NA
"90","ACH-000944",NA,NA
"91","ACH-001075",NA,NA
"92","ACH-000027",NA,NA
"93","ACH-000152",NA,NA
"94","ACH-000878",NA,NA
"95","ACH-000948",NA,NA
"96","ACH-000917",NA,NA
"97","ACH-000063",NA,NA
"98","ACH-000515",NA,NA
"99","ACH-000684",NA,NA
"100","ACH-000129",NA,NA
"101","ACH-000127",NA,NA
"102","ACH-000530",NA,NA
"103","ACH-000744",NA,NA
"104","ACH-000538",NA,NA
"105","ACH-000716",NA,NA
"106","ACH-000859",NA,NA
"107","ACH-000792",NA,NA
"108","ACH-000822",NA,NA
"109","ACH-000851",NA,NA
"110","ACH-000821",NA,NA
"111","ACH-000863",NA,NA
"112","ACH-000262",NA,NA
"113","ACH-000288",NA,NA
"114","ACH-000177",NA,NA
"115","ACH-000354",NA,NA
"116","ACH-000089",NA,NA
"117","ACH-000321",NA,NA
"118","ACH-000813",NA,NA
"119","ACH-000383",NA,NA
"120","ACH-000348",NA,NA
"121","ACH-000562",NA,NA
"122","ACH-000907",NA,NA
"123","ACH-000901",NA,NA
"124","ACH-000260",NA,NA
"125","ACH-000623",NA,NA
"126","ACH-000434",NA,NA
"127","ACH-000458",NA,NA
"128","ACH-000685",NA,NA
"129","ACH-000122",NA,NA
"130","ACH-000422",NA,NA
"131","ACH-000711",NA,NA
"132","ACH-000760",NA,NA
"133","ACH-000488",NA,NA
"134","ACH-000964",NA,NA
"135","ACH-000934",NA,NA
"136","ACH-000523",NA,NA
"137","ACH-000646",NA,NA
"138","ACH-000691",NA,NA
"139","ACH-001306",NA,NA
"140","ACH-000746",NA,NA
"141","ACH-000408",NA,NA
"142","ACH-000569",NA,NA
"143","ACH-000657",NA,NA
"144","ACH-000071",NA,NA
"145","ACH-000687",NA,NA
"146","ACH-000587",NA,NA
"147","ACH-001207",NA,NA
"148","ACH-000588",NA,NA
"149","ACH-000378",NA,NA
"150","ACH-000261",NA,NA
"151","ACH-000768",NA,NA
"152","ACH-000069",NA,NA
"153","ACH-000333",NA,NA
"154","ACH-000384",NA,NA
"155","ACH-000224",NA,NA
"156","ACH-000575",NA,NA
"157","ACH-001106",NA,NA
"158","ACH-000840",NA,NA
"159","ACH-000003",NA,NA
"160","ACH-000278",NA,NA
"161","ACH-000272",NA,NA
"162","ACH-000398",NA,NA
"163","ACH-000025",NA,NA
"164","ACH-000453",NA,NA
"165","ACH-000638",NA,NA
"166","ACH-000046",NA,NA
"167","ACH-000640",NA,NA
"168","ACH-000228",NA,NA
"169","ACH-000464",NA,NA
"170","ACH-000114",NA,NA
"171","ACH-000154",NA,NA
"172","ACH-000117",NA,NA
"173","ACH-000823",NA,NA
"174","ACH-000757",NA,NA
"175","ACH-000941",NA,NA
"176","ACH-000484",NA,NA
"177","ACH-000271",NA,NA
"178","ACH-000655",NA,NA
"179","ACH-000139",NA,NA
"180","ACH-000508",NA,NA
"181","ACH-000111",NA,NA
"182","ACH-000291",NA,NA
"183","ACH-000118",NA,NA
"184","ACH-000233",NA,NA
"185","ACH-000151",NA,NA
"186","ACH-000618",NA,NA
"187","ACH-000380",NA,NA
"188","ACH-000443",NA,NA
"189","ACH-000501",NA,NA
"190","ACH-000674",NA,NA
"191","ACH-000496",NA,NA
"192","ACH-000811",NA,NA
"193","ACH-000849",NA,NA
"194","ACH-000179",NA,NA
"195","ACH-000141",NA,NA
"196","ACH-000212",NA,NA
"197","ACH-000894",NA,NA
"198","ACH-000918",NA,NA
"199","ACH-000402",NA,NA
"200","ACH-000838",NA,NA
"201","ACH-000301",NA,NA
"202","ACH-000052",NA,NA
"203","ACH-000186",NA,NA
"204","ACH-000697",NA,NA
"205","ACH-000298",NA,NA
"206","ACH-000977",NA,NA
"207","ACH-000526",NA,NA
"208","ACH-000729",NA,NA
"209","ACH-000031",NA,NA
"210","ACH-000407",NA,NA
"211","ACH-000479",NA,NA
"212","ACH-000671",NA,NA
"213","ACH-000387",NA,NA
"214","ACH-000267",NA,NA
"215","ACH-000559",NA,NA
"216","ACH-000481",NA,NA
"217","ACH-000884",NA,NA
"218","ACH-000193",NA,NA
"219","ACH-000621",NA,NA
"220","ACH-000248",NA,NA
"221","ACH-000610",NA,NA
"222","ACH-000847",NA,NA
"223","ACH-000438",NA,NA
"224","ACH-000131",NA,NA
"225","ACH-000116",NA,NA
"226","ACH-000804",NA,NA
"227","ACH-000411",NA,NA
"228","ACH-000758",NA,NA
"229","ACH-000725",NA,NA
"230","ACH-000083",NA,NA
"231","ACH-000090",NA,NA
"232","ACH-000519",NA,NA
"233","ACH-000349",NA,NA
"234","ACH-000165",NA,NA
"235","ACH-000185",NA,NA
"236","ACH-000310",NA,NA
"237","ACH-000237",NA,NA
"238","ACH-000543",NA,NA
"239","ACH-000709",NA,NA
"240","ACH-000796",NA,NA
"241","ACH-000581",NA,NA
"242","ACH-000910",NA,NA
"243","ACH-000622",NA,NA
"244","ACH-000216",NA,NA
"245","ACH-000841",NA,NA
"246","ACH-000077",NA,NA
"247","ACH-000978",NA,NA
"248","ACH-000518",NA,NA
"249","ACH-000367",NA,NA
"250","ACH-000086",NA,NA
"251","ACH-000807",NA,NA
"252","ACH-000881",NA,NA
"253","ACH-000024",NA,NA
"254","ACH-000926",NA,NA
"255","ACH-000110",NA,NA
"256","ACH-000749",NA,NA
"257","ACH-000820",NA,NA
"258","ACH-000423",NA,NA
"259","ACH-000282",NA,NA
"260","ACH-000238",NA,NA
"261","ACH-000461",NA,NA
"262","ACH-000558",NA,NA
"263","ACH-000469",NA,NA
"264","ACH-000471",NA,NA
"265","ACH-000843",NA,NA
"266","ACH-000968",NA,NA
"267","ACH-000048",NA,NA
"268","ACH-000385",NA,NA
"269","ACH-000148",NA,NA
"270","ACH-000904",NA,NA
"271","ACH-000599",NA,NA
"272","ACH-000268",NA,NA
"273","ACH-000703",NA,NA
"274","ACH-000936",NA,NA
"275","ACH-000786",NA,NA
"276","ACH-000892",NA,NA
"277","ACH-000800",NA,NA
"278","ACH-000593",NA,NA
"279","ACH-000361",NA,NA
"280","ACH-000191",NA,NA
"281","ACH-000155",NA,NA
"282","ACH-000702",NA,NA
"283","ACH-000513",NA,NA
"284","ACH-000015",NA,NA
"285","ACH-000701",NA,NA
"286","ACH-000920",NA,NA
"287","ACH-000034",NA,NA
"288","ACH-000075",NA,NA
"289","ACH-000242",NA,NA
"290","ACH-000537",NA,NA
"291","ACH-000561",NA,NA
"292","ACH-000583",NA,NA
"293","ACH-000104",NA,NA
"294","ACH-000312",NA,NA
"295","ACH-000121",NA,NA
"296","ACH-000783",NA,NA
"297","ACH-000416",NA,NA
"298","ACH-000044",NA,NA
"299","ACH-000714",NA,NA
"300","ACH-000252",NA,NA
"301","ACH-000082",NA,NA
"302","ACH-000956",NA,NA
"303","ACH-000403",NA,NA
"304","ACH-000008",NA,NA
"305","ACH-000049",NA,NA
"306","ACH-000491",NA,NA
"307","ACH-000171",NA,NA
"308","ACH-000784",NA,NA
"309","ACH-000712",NA,NA
"310","ACH-000603",NA,NA
"311","ACH-000201",NA,NA
"312","ACH-000747",NA,NA
"313","ACH-000940",NA,NA
"314","ACH-000243",NA,NA
"315","ACH-000249",NA,NA
"316","ACH-000916",NA,NA
"317","ACH-000170",NA,NA
"318","ACH-000888",NA,NA
"319","ACH-000060",NA,NA
"320","ACH-000028",NA,NA
"321","ACH-000359",NA,NA
"322","ACH-000007",NA,NA
"323","ACH-000858",NA,NA
"324","ACH-000482",NA,NA
"325","ACH-000810",NA,NA
"326","ACH-000550",NA,NA
"327","ACH-000775",NA,NA
"328","ACH-000766",NA,NA
"329","ACH-000819",NA,NA
"330","ACH-000552",NA,NA
"331","ACH-000222",NA,NA
"332","ACH-000070",NA,NA
"333","ACH-000266",NA,NA
"334","ACH-000300",NA,NA
"335","ACH-000259",NA,NA
"336","ACH-000113",NA,NA
"337","ACH-000097",NA,NA
"338","ACH-000831",NA,NA
"339","ACH-000602",NA,NA
"340","ACH-000672",NA,NA
"341","ACH-000346",NA,NA
"342","ACH-000743",NA,NA
"343","ACH-000368",NA,NA
"344","ACH-000715",NA,NA
"345","ACH-000480",NA,NA
"346","ACH-000659",NA,NA
"347","ACH-000108",NA,NA
"348","ACH-000382",NA,NA
"349","ACH-000064",NA,NA
"350","ACH-000106",NA,NA
"351","ACH-000509",NA,NA
"352","ACH-000589",NA,NA
"353","ACH-000303",NA,NA
"354","ACH-000463",NA,NA
"355","ACH-000986",NA,NA
"356","ACH-000370",NA,NA
"357","ACH-000527",NA,NA
"358","ACH-000548",NA,NA
"359","ACH-000017",NA,NA
"360","ACH-000109",NA,NA
"361","ACH-000042",NA,NA
"362","ACH-001211",NA,NA
"363","ACH-000891",NA,NA
"364","ACH-000336",NA,NA
"365","ACH-000334",NA,NA
"366","ACH-000437",NA,NA
"367","ACH-000730",NA,NA
"368","ACH-000797",NA,NA
"369","ACH-000611",NA,NA
"370","ACH-000698",NA,NA
"371","ACH-000994",NA,NA
"372","ACH-000204",NA,NA
"373","ACH-000035",NA,NA
"374","ACH-000498",NA,NA
"375","ACH-001307",NA,NA
"376","ACH-000740",NA,NA
"377","ACH-000236",NA,NA
"378","ACH-000832",NA,NA
"379","ACH-000009",NA,NA
"380","ACH-000692",NA,NA
"381","ACH-000018",NA,NA
"382","ACH-000055",NA,NA
"383","ACH-000846",NA,NA
"384","ACH-000250",NA,NA
"385","ACH-000251",NA,NA
"386","ACH-000335",NA,NA
"387","ACH-000478",NA,NA
"388","ACH-000178",NA,NA
"389","ACH-000200",NA,NA
"390","ACH-000405",NA,NA
"391","ACH-000670",NA,NA
"392","ACH-000490",NA,NA
"393","ACH-000476",NA,NA
"394","ACH-000159",NA,NA
"395","ACH-000347",NA,NA
"396","ACH-000933",NA,NA
"397","ACH-000668",NA,NA
"398","ACH-000406",NA,NA
"399","ACH-000229",NA,NA
"400","ACH-000963",NA,NA
"401","ACH-000545",NA,NA
"402","ACH-000487",NA,NA
"403","ACH-000946",NA,NA
"404","ACH-000142",NA,NA
"405","ACH-000951",NA,NA
"406","ACH-000585",NA,NA
"407","ACH-000140",NA,NA
"408","ACH-000635",NA,NA
"409","ACH-000223",NA,NA
"410","ACH-000969",NA,NA
"411","ACH-000436",NA,NA
"412","ACH-000065",NA,NA
"413","ACH-000373",NA,NA
"414","ACH-000180",NA,NA
"415","ACH-000707",NA,NA
"416","ACH-000454",NA,NA
"417","ACH-000688",NA,NA
"418","ACH-000353",NA,NA
"419","ACH-000103",NA,NA
"420","ACH-000507",NA,NA
"421","ACH-000220",NA,NA
"422","ACH-000989",NA,NA
"423","ACH-000125",NA,NA
"424","ACH-000371",NA,NA
"425","ACH-001109",NA,NA
"426","ACH-000126",NA,NA
"427","ACH-000161",NA,NA
"428","ACH-000751",NA,NA
"429","ACH-000145",NA,NA
"430","ACH-000676",NA,NA
"431","ACH-000724",NA,NA
"432","ACH-000750",NA,NA
"433","ACH-000632",NA,NA
"434","ACH-000149",NA,NA
"435","ACH-000798",NA,NA
"436","ACH-000264",NA,NA
"437","ACH-000394",NA,NA
"438","ACH-000767",NA,NA
"439","ACH-000738",NA,NA
"440","ACH-000205",NA,NA
"441","ACH-000199",NA,NA
"442","ACH-000183",NA,NA
"443","ACH-000311",NA,NA
"444","ACH-000973",NA,NA
"445","ACH-000128",NA,NA
"446","ACH-000582",NA,NA
"447","ACH-000923",NA,NA
"448","ACH-000041",NA,NA
"449","ACH-000705",NA,NA
"450","ACH-000329",NA,NA
"451","ACH-000996",NA,NA
"452","ACH-000352",NA,NA
"453","ACH-000343",NA,NA
"454","ACH-000961",NA,NA
"455","ACH-000719",NA,NA
"456","ACH-000991",NA,NA
"457","ACH-000505",NA,NA
"458","ACH-000667",NA,NA
"459","ACH-000445",NA,NA
"460","ACH-000679",NA,NA
"461","ACH-000275",NA,NA
"462","ACH-000485",NA,NA
"463","ACH-000620",NA,NA
"464","ACH-000379",NA,NA
"465","ACH-000683",NA,NA
"466","ACH-001239",NA,NA
"467","ACH-000020",NA,NA
"468","ACH-001086",NA,NA
"469","ACH-000594",NA,NA
"470","ACH-000677",NA,NA
"471","ACH-000226",NA,NA
"472","ACH-000162",NA,NA
"473","ACH-000074",NA,NA
"474","ACH-000654",NA,NA
"475","ACH-000184",NA,NA
"476","ACH-000971",NA,NA
"477","ACH-000066",NA,NA
"478","ACH-000432",NA,NA
"479","ACH-001318",NA,NA
"480","ACH-000450",NA,NA
"481","ACH-001366",NA,NA
"482","ACH-000636",NA,NA
"483","ACH-000976",NA,NA
"484","ACH-001390",NA,NA
"485","ACH-000644",NA,NA
"486","ACH-000345",NA,NA
"487","ACH-000780",NA,NA
"488","ACH-000601",NA,NA
"489","ACH-000962",NA,NA
"490","ACH-000895",NA,NA
"491","ACH-000598",NA,NA
"492","ACH-000470",NA,NA
"493","ACH-000560",NA,NA
"494","ACH-000938",NA,NA
"495","ACH-000648",NA,NA
"496","ACH-000344",NA,NA
"497","ACH-000999",NA,NA
"498","ACH-000374",NA,NA
"499","ACH-000164",NA,NA
"500","ACH-000641",NA,NA
"501","ACH-000375",NA,NA
"502","ACH-000472",NA,NA
"503","ACH-000043",NA,NA
"504","ACH-000410",NA,NA
"505","ACH-000592",NA,NA
"506","ACH-000283",NA,NA
"507","ACH-000190",NA,NA
"508","ACH-000466",NA,NA
"509","ACH-000748",NA,NA
"510","ACH-000245",NA,NA
"511","ACH-000896",NA,NA
"512","ACH-000420",NA,NA
"513","ACH-000629",NA,NA
"514","ACH-000799",NA,NA
"515","ACH-000817",NA,NA
"516","ACH-000949",NA,NA
"517","ACH-000950",NA,NA
"518","ACH-000016",NA,NA
"519","ACH-000330",NA,NA
"520","ACH-000547",NA,NA
"521","ACH-000230",NA,NA
"522","ACH-000680",NA,NA
"523","ACH-000524",NA,NA
"524","ACH-000604",NA,NA
"525","ACH-000565",NA,NA
"526","ACH-000302",NA,NA
"527","ACH-000196",NA,NA
"528","ACH-000771",NA,NA
"529","ACH-000163",NA,NA
"530","ACH-000925",NA,NA
"531","ACH-000630",NA,NA
"532","ACH-000147",NA,NA
"533","ACH-000138",NA,NA
"534","ACH-000516",NA,NA
"535","ACH-000793",NA,NA
"536","ACH-000736",NA,NA
"537","ACH-000699",NA,NA
"538","ACH-000365",NA,NA
"539","ACH-000208",NA,NA
"540","ACH-000651",NA,NA
"541","ACH-000115",NA,NA
"542","ACH-000203",NA,NA
"543","ACH-000909",NA,NA
"544","ACH-000099",NA,NA
"545","ACH-000762",NA,NA
"546","ACH-000785",NA,NA
"547","ACH-000857",NA,NA
"548","ACH-000879",NA,NA
"549","ACH-000942",NA,NA
"550","ACH-000419",NA,NA
"551","ACH-000682",NA,NA
"552","ACH-000362",NA,NA
"553","ACH-000207",NA,NA
"554","ACH-000566",NA,NA
"555","ACH-000855",NA,NA
"556","ACH-000425",NA,NA
"557","ACH-000366",NA,NA
"558","ACH-000928",NA,NA
"559","ACH-000830",NA,NA
"560","ACH-000279",NA,NA
"561","ACH-000696",NA,NA
"562","ACH-000826",NA,NA
"563","ACH-000360",NA,NA
"564","ACH-000342",NA,NA
"565","ACH-000502",NA,NA
"566","ACH-000187",NA,NA
"567","ACH-000669",NA,NA
"568","ACH-000980",NA,NA
"569","ACH-000072",NA,NA
"570","ACH-000002",NA,NA
"571","ACH-000809",NA,NA
"572","ACH-000326",NA,NA
"573","ACH-000202",NA,NA
"574","ACH-000662",NA,NA
"575","ACH-000459",NA,NA
"576","ACH-000227",NA,NA
"577","ACH-000192",NA,NA
"578","ACH-000418",NA,NA
"579","ACH-000607",NA,NA
"580","ACH-000446",NA,NA
"581","ACH-000477",NA,NA
"582","ACH-000232",NA,NA
"583","ACH-000005",NA,NA
"584","ACH-000094",NA,NA
"585","ACH-000289",NA,NA
"586","ACH-000649",NA,NA
"587","ACH-000085",NA,NA
"588","ACH-000972",NA,NA
"589","ACH-000256",NA,NA
"590","ACH-000776",NA,NA
"591","ACH-000119",NA,NA
"592","ACH-000369",NA,NA
"593","ACH-000554",NA,NA
"594","ACH-000462",NA,NA
"595","ACH-000091",NA,NA
"596","ACH-000626",NA,NA
"597","ACH-000195",NA,NA
"598","ACH-000546",NA,NA
"599","ACH-000213",NA,NA
"600","ACH-000981",NA,NA
"601","ACH-000124",NA,NA
"602","ACH-000144",NA,NA
"603","ACH-000067",NA,NA
"604","ACH-000078",NA,NA
"605","ACH-000134",NA,NA
"606","ACH-000954",NA,NA
"607","ACH-000247",NA,NA
"608","ACH-000844",NA,NA
"609","ACH-000198",NA,NA
"610","ACH-000600",NA,NA
"611","ACH-000492",NA,NA
"612","ACH-000765",NA,NA
"613","ACH-000172",NA,NA
"614","ACH-000596",NA,NA
"615","ACH-000038",NA,NA
"616","ACH-000372",NA,NA
"617","ACH-000645",NA,NA
"618","ACH-000905",NA,NA
"619","ACH-000721",NA,NA
"620","ACH-000084",NA,NA
"621","ACH-000263",NA,NA
"622","ACH-000619",NA,NA
"623","ACH-000642",NA,NA
"624","ACH-000051",NA,NA
"625","ACH-000828",NA,NA
"626","ACH-000315",NA,NA
"627","ACH-000244",NA,NA
"628","ACH-000174",NA,NA
"629","ACH-000806",NA,NA
"630","ACH-000307",NA,NA
"631","ACH-000012",NA,NA
"632","ACH-000756",NA,NA
"633","ACH-000240",NA,NA
"634","ACH-000494",NA,NA
"635","ACH-000573",NA,NA
"636","ACH-000741",NA,NA
"637","ACH-000825",NA,NA
"638","ACH-000653",NA,NA
"639","ACH-000123",NA,NA
"640","ACH-000759",NA,NA
"641","ACH-000465",NA,NA
"642","ACH-001321",NA,NA
"643","ACH-000861",NA,NA
"644","ACH-000953",NA,NA
"645","ACH-000325",NA,NA
"646","ACH-000011",NA,NA
"647","ACH-000217",NA,NA
"648","ACH-000100",NA,NA
"649","ACH-000381",NA,NA
"650","ACH-000314",NA,NA
"651","ACH-000214",NA,NA
"652","ACH-000763",NA,NA
"653","ACH-000764",NA,NA
"654","ACH-000150",NA,NA
"655","ACH-000982",NA,NA
"656","ACH-000745",NA,NA
"657","ACH-000708",NA,NA
"658","ACH-000429",NA,NA
"659","ACH-000189",NA,NA
"660","ACH-000057",NA,NA
"661","ACH-000068",NA,NA
"662","ACH-000194",NA,NA
"663","ACH-000404",NA,NA
"664","ACH-000364",NA,NA
"665","ACH-000338",NA,NA
"666","ACH-000169",NA,NA
"667","ACH-000050",NA,NA
"668","ACH-000613",NA,NA
"669","ACH-000837",NA,NA
"670","ACH-000663",NA,NA
"671","ACH-000862",NA,NA
"672","ACH-000584",NA,NA
"673","ACH-000726",NA,NA
"674","ACH-000483",NA,NA
"675","ACH-000239",NA,NA
"676","ACH-000720",NA,NA
"677","ACH-000755",NA,NA
"678","ACH-000006",NA,NA
"679","ACH-000865",NA,NA
"680","ACH-000253",NA,NA
"681","ACH-000572",NA,NA
"682","ACH-000957",NA,NA
"683","ACH-000912",NA,NA
"684","ACH-000689",NA,NA
"685","ACH-000983",NA,NA
"686","ACH-000001",NA,NA
"687","ACH-000915",NA,NA
"688","ACH-000413",NA,NA
"689","ACH-000358",NA,NA
"690","ACH-000280",NA,NA
"691","ACH-000503",NA,NA
"692","ACH-000877",NA,NA
"693","ACH-000781",NA,NA
"694","ACH-000316",NA,NA
"695","ACH-001128",NA,NA
"696","ACH-000467",NA,NA
"697","ACH-000824",NA,NA
"698","ACH-000273",NA,NA
"699","ACH-000955",NA,NA
"700","ACH-000442",NA,NA
"701","ACH-000869",NA,NA
"702","ACH-000511",NA,NA
"703","ACH-000520",NA,NA
"704","ACH-000875",NA,NA
"705","ACH-000913",NA,NA
"706","ACH-000013",NA,NA
"707","ACH-000440",NA,NA
"708","ACH-000652",NA,NA
"709","ACH-000473",NA,NA
"710","ACH-000435",NA,NA
"711","ACH-000886",NA,NA
"712","ACH-000304",NA,NA
"713","ACH-000805",NA,NA
"714","ACH-000852",NA,NA
"715","ACH-000293",NA,NA
"716","ACH-000056",NA,NA
"717","ACH-000351",NA,NA
"718","ACH-000876",NA,NA
"719","ACH-000678",NA,NA
"720","ACH-000098",NA,NA
"721","ACH-000168",NA,NA
"722","ACH-000079",NA,NA
"723","ACH-000493",NA,NA
"724","ACH-000297",NA,NA
"725","ACH-000540",NA,NA
"726","ACH-000448",NA,NA
"727","ACH-000778",NA,NA
"728","ACH-000255",NA,NA
"729","ACH-000391",NA,NA
"730","ACH-000512",NA,NA
"731","ACH-000209",NA,NA
"732","ACH-000444",NA,NA
"733","ACH-000984",NA,NA
"734","ACH-000528",NA,NA
"735","ACH-000500",NA,NA
"736","ACH-000801",NA,NA
"737","ACH-000660",NA,NA
"738","ACH-000890",NA,NA
"739","ACH-000614",NA,NA
"740","ACH-000883",NA,NA
"741","ACH-000073",NA,NA
"742","ACH-000754",NA,NA
"743","ACH-000400",NA,NA
"744","ACH-000681",NA,NA
"745","ACH-000731",NA,NA
"746","ACH-000107",NA,NA
"747","ACH-000295",NA,NA
"748","ACH-000704",NA,NA
"749","ACH-000919",NA,NA
"750","ACH-000656",NA,NA
"751","ACH-000939",NA,NA
"752","ACH-000576",NA,NA
"753","ACH-000609",NA,NA
"754","ACH-000313",NA,NA
"755","ACH-000737",NA,NA
"756","ACH-000870",NA,NA
"757","ACH-000376",NA,NA
"758","ACH-000430",NA,NA
"759","ACH-000276",NA,NA
"760","ACH-000616",NA,NA
"761","ACH-000319",NA,NA
"762","ACH-000827",NA,NA
"763","ACH-000088",NA,NA
"764","ACH-000269",NA,NA
"765","ACH-000428",NA,NA
"766","ACH-000647",NA,NA
"767","ACH-000753",NA,NA
"768","ACH-000451",NA,NA
"769","ACH-000570",NA,NA
"770","ACH-000234",NA,NA
"771","ACH-000327",NA,NA
"772","ACH-000323",NA,NA
"773","ACH-000452",NA,NA
"774","ACH-000791",NA,NA
"775","ACH-000772",NA,NA
"776","ACH-000943",NA,NA
"777","ACH-000782",NA,NA
"778","ACH-000769",NA,NA
"779","ACH-000188",NA,NA
"780","ACH-001656",NA,NA
"781","ACH-000022",NA,NA
"782","ACH-000567",NA,NA
"783","ACH-000848",NA,NA
"784","ACH-000080",NA,NA
"785","ACH-000356",NA,NA
"786","ACH-000802",NA,NA
"787","ACH-000897",NA,NA
"788","ACH-000092",NA,NA
"789","ACH-000885",NA,NA
"790","ACH-000457",NA,NA
"791","ACH-000158",NA,NA
"792","ACH-000899",NA,NA
"793","ACH-000713",NA,NA
"794","ACH-000911",NA,NA
"795","ACH-000773",NA,NA
"796","ACH-000739",NA,NA
"797","ACH-000935",NA,NA
"798","ACH-000389",NA,NA
"799","ACH-000723",NA,NA
"800","ACH-000564",NA,NA
"801","ACH-000157",NA,NA
"802","ACH-000166",NA,NA
"803","ACH-000415",NA,NA
"804","ACH-000137",NA,NA
"805","ACH-000932",NA,NA
"806","ACH-000241",NA,NA
"807","ACH-000133",NA,NA
"808","ACH-000690",NA,NA
"809","ACH-000549",NA,NA
"810","ACH-000606",NA,NA
"811","ACH-000853",NA,NA
"812","ACH-000752",NA,NA
"813","ACH-000734",NA,NA
"814","ACH-000510",NA,NA
"815","ACH-000580",NA,NA
"816","ACH-000045",NA,NA
"817","ACH-000633",NA,NA
"818","ACH-000058",NA,NA
"819","ACH-000257",NA,NA
"820","ACH-000812",NA,NA
"821","ACH-000845",NA,NA
"822","ACH-000842",NA,NA
"823","ACH-000761",NA,NA
"824","ACH-000456",NA,NA
"825","ACH-000774",NA,NA
"826","ACH-000960",NA,NA
"827","ACH-000076",NA,NA
"828","ACH-000718",NA,NA
"829","ACH-000833",NA,NA
"830","ACH-000534",NA,NA
"831","ACH-000605",NA,NA
"832","ACH-000541",NA,NA
"833","ACH-000608",NA,NA
"834","ACH-000631",NA,NA
"835","ACH-000019",NA,NA
"836","ACH-000568",NA,NA
"837","ACH-000790",NA,NA
"838","ACH-000779",NA,NA
"839","ACH-000889",NA,NA
"840","ACH-000306",NA,NA
"841","ACH-000392",NA,NA
"842","ACH-000903",NA,NA
"843","ACH-000787",NA,NA
"844","ACH-000835",NA,NA
"845","ACH-000666",NA,NA
"846","ACH-000535",NA,NA
"847","ACH-000664",NA,NA
"848","ACH-000120",NA,NA
"849","ACH-000850",NA,NA
"850","ACH-000794",NA,NA
"851","ACH-000880",NA,NA
"852","ACH-000615",NA,NA
"853","ACH-000258",NA,NA
"854","ACH-000412",NA,NA
"855","ACH-000970",NA,NA
"856","ACH-000706",NA,NA
"857","ACH-000032",NA,NA
"858","ACH-001129",NA,NA
"859","ACH-000285",NA,NA
"860","ACH-000215",NA,NA
"861","ACH-000173",NA,NA
"862","ACH-000460",NA,NA
"863","ACH-000218",NA,NA
"864","ACH-000553",NA,NA
"865","ACH-000274",NA,NA
"866","ACH-000717",NA,NA
"867","ACH-000914",NA,NA
"868","ACH-000350",NA,NA
"869","ACH-000551",NA,NA
"870","ACH-000574",NA,NA
"871","ACH-000004",NA,NA
"872","ACH-000675",NA,NA
"873","ACH-000586",NA,NA
