ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
BRUINS_UVC_RESPONSE_LATE,BRUINS_UVC_RESPONSE_LATE,130,0.228910623,2.205608295,0.001082251,0.020256813,0.013585457,402,"tags=48%, list=31%, signal=37%",ARHGEF7/ATP2B1/LDLR/PDCD10/UFSP2/PTEN/TSC2/PGP/MTX2/ELMO2/DPY30/G6PD/TLN1/LMNB1/FBXO7/HTRA2/CLPB/DPM1/KDSR/SHC1/CAB39/CCNE1/SARNP/CSNK2A1/CMIP/SOS1/WWTR1/EMC2/NDUFAF6/IER3IP1/BCL6/ZW10/DYRK1A/VPS36/CD2BP2/FRG1/CCND2/UBE2K/COA3/TADA3/AHR/SPTLC1/E2F1/CCDC22/PAGR1/PRKAR1A/PPP6R3/STK11/LCMT1/GSK3B/MAP3K7/DOHH/TTC7A/RAB10/PPCDC/DDX19A/EXT1/WASHC3/MIB1/ACTG1/HSF1/NDUFAF3
DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,DACOSTA_UV_RESPONSE_VIA_ERCC3_DN,127,0.259694995,2.476571063,0.001091703,0.020256813,0.013585457,636,"tags=69%, list=49%, signal=39%",ARHGEF7/ATP2B1/LDLR/MED13/PTEN/MTX2/ZEB1/KIDINS220/UGCG/PTPN1/FERMT2/PARD3/RUNX1/SUPT20H/DUSP4/LMNB1/CDK8/TEAD1/CDH2/PICALM/SMCHD1/TP53BP1/TCF7L2/ADNP/YAP1/MAPK14/PPP2R2A/CSNK2A1/SLC7A1/SOS1/WWTR1/SMAD7/EMC2/TGIF1/ANKRD17/SOX9/ROCK2/ZEB2/WRN/DYRK1A/CREBBP/EGFR/PTK2/ATP2C1/ARHGAP29/BMPR1A/COG5/TIPARP/CBFB/DNAJC13/GSK3B/GIGYF2/CDS2/TAF4/PKN2/EXT1/CHD1/SMARCA2/VCL/MNT/CNOT4/MBNL1/JUN/SUCO/ZFP36L2/ACSL3/APC/FUBP1/CCDC6/NCKAP1/TXNRD1/STXBP3/E2F3/RB1CC1/PMM2/NAMPT/ACSL4/CDK13/EFR3A/RCOR1/FBXW11/FARS2/SCAF8/RAB6A/CCND1/SLC4A7/ZMYND8
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3,KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3,92,0.262256301,2.298725318,0.001145475,0.020256813,0.013585457,523,"tags=60%, list=40%, signal=38%",CDKN1A/FERMT1/ITGB1/IRF2BP2/GATA3/SNAI2/GLS/MORF4L1/RUNX1/DOCK5/TLN1/RNH1/RCC1L/PICALM/YAP1/JUNB/TMEM80/CMIP/SLC7A1/SREBF1/IKBKG/WWTR1/SMAD7/TGIF1/ZW10/EXT2/ITGAV/EGFR/PTK2/SSBP3/TIPARP/AHR/POLG/MYH9/FCHO2/TNPO1/SLC20A1/FOSL1/EXT1/FURIN/NDE1/VCL/SLC7A5/SLC25A28/MNT/SLC38A2/BRD2/MBNL1/MRPL2/ZFP36L1/FUBP1/YME1L1/TFAP2A/TXNRD1/ARID2
KRIEG_HYPOXIA_NOT_VIA_KDM3A,KRIEG_HYPOXIA_NOT_VIA_KDM3A,74,0.28382303,2.319954597,0.001156069,0.020256813,0.013585457,480,"tags=59%, list=37%, signal=40%",ARHGEF7/ITGA3/GNA13/PDCD10/RIC8A/TCF3/RUNX1/SLC16A1/SLC2A1/EGLN1/SH3GL1/ALDH18A1/SMAD7/CTDSPL2/MAPK1/EGFR/SGF29/TIPARP/CRAMP1/CNOT11/TUBB3/UAP1/PAGR1/POLG/MYH9/CTNNB1/ITGB5/GSK3B/CDS2/IRS2/KNTC1/TRIP13/JMJD6/USP1/ACTG1/SLC7A5/FOXM1/ATG9A/SLC38A2/WAC/JUN/GRSF1/PAXIP1/RRAGA
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,74,0.371413997,3.03591858,0.001156069,0.020256813,0.013585457,375,"tags=59%, list=29%, signal=45%",ARHGEF7/GAB1/ITGA3/BRK1/ITGB1/CTNNA1/KIDINS220/ATP6V0E1/ASCL1/BCAR1/BRAF/CRK/ELMO2/PTPN1/PXN/DUSP4/PAK2/ARF6/ERBB2/SHC1/YAP1/MAPK14/CSK/JUNB/SH3GL1/SOS1/ROCK2/FGFR1/MAPK1/ITGAV/EGFR/PTK2/ERBB3/NRAS/MEF2C/RICTOR/PIK3R1/CTNNB1/PIK3CB/IRS2/FOSL1/MUC20/TIAL1/FURIN
GRESHOCK_CANCER_COPY_NUMBER_UP,GRESHOCK_CANCER_COPY_NUMBER_UP,77,0.372116872,3.062253132,0.001169591,0.020256813,0.013585457,307,"tags=55%, list=24%, signal=44%",NF2/ARNT/TP53/TSC1/PTEN/TSC2/FLCN/CDH1/NF1/HOXD13/BRAF/FLI1/POU2AF1/TCF3/FBXW7/RUNX1/IRF4/PICALM/KDSR/KMT2A/ERBB2/PAX8/CEP43/PCM1/SH3GL1/MYCN/BCL9/BCL6/FGFR1/WRN/EXT2/CREBBP/EGFR/CCND2/FANCF/BMPR1A/NRAS/PRKAR1A/CBFB/STK11/MYH9/CTNNB1
KEGG_PATHWAYS_IN_CANCER,KEGG_PATHWAYS_IN_CANCER,64,0.340222098,2.651997446,0.001176471,0.020256813,0.013585457,314,"tags=53%, list=24%, signal=42%",ARNT/CDKN1A/TGFBR1/ITGA3/TP53/PTEN/ITGB1/CTNNA1/CDH1/BRAF/CRK/RUNX1/ERBB2/SLC2A1/TCF7L2/CCNE1/PAX8/EGLN1/IKBKG/SOS1/RAF1/FGFR1/MAPK1/CREBBP/ITGAV/EGFR/PTK2/E2F1/NRAS/PIK3R1/CTNNB1/GSK3B/FADD/PIK3CB
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,64,0.306522324,2.389311056,0.001176471,0.020256813,0.013585457,407,"tags=55%, list=31%, signal=39%",CDKN1A/TGFBR1/GAB1/PTEN/TSC2/NF1/BRAF/FBXW7/TLN1/CDK8/ERBB2/SHC1/PSMF1/TCF7L2/CSK/CEP43/SOS1/RAF1/FGFR1/MAPK1/CREBBP/EGFR/ERBB3/NRAS/RICTOR/PIK3R1/CTNNB1/GSK3B/PIK3CB/IRS2/MIB1/VCL/ACTG1/CCNC/DERL2
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP,FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP,58,0.304083157,2.255321552,0.001210654,0.020256813,0.013585457,391,"tags=55%, list=30%, signal=40%",TGFBR1/TAPT1/IRF2BP2/JTB/GLS/TCF3/RUNX1/G6PD/IRF4/DUSP4/CSK/CMIP/COX18/SLC7A1/POLE4/SMAD7/NDUFV2/TRAPPC2L/ATP2C1/COA3/LRP8/TMX2/MYH9/FADD/PTDSS1/UBE2G2/SLC20A1/CYB5B/PPA2/NDUFA2/UXS1/VCL
CUI_TCF21_TARGETS_2_DN,CUI_TCF21_TARGETS_2_DN,50,0.348465251,2.464810469,0.001230012,0.020256813,0.013585457,722,"tags=88%, list=56%, signal=41%",KIRREL1/ARNT/MED13/ITGB1/TAOK1/IRF2BP2/GATA3/CRK/FLI1/FERMT2/DOCK5/SPTLC2/PARD6B/WWTR1/ZEB2/CREBBP/RFK/ARHGAP29/BMPR1A/TIPARP/MEF2C/RICTOR/SLC33A1/ITGB5/TADA2B/VCL/MED23/UGP2/LUC7L2/PIK3CA/PTAR1/STXBP3/VMA21/ACSL4/EAF1/VPS54/PDE4DIP/NCOA4/EXOC8/CFLAR/POLR2M/ZFX/EMC7/VPS37A
MILI_PSEUDOPODIA_CHEMOTAXIS_DN,MILI_PSEUDOPODIA_CHEMOTAXIS_DN,52,0.345556464,2.47331387,0.001239157,0.020256813,0.013585457,455,"tags=63%, list=35%, signal=43%",ITGA3/LDLR/ITGB1/CTNNA1/TLN1/SLC16A1/SLC2A1/SLC35A2/BCL9/SOCS3/TGIF1/FGFR1/GCN1/GGNBP2/STT3A/SPTLC1/HSD17B12/POLG/PPP6R3/CTNNB1/GSK3B/CDS2/RANBP3/SLC20A1/ANKRD11/TTC7A/CHKA/VCL/HSF1/SLC38A2/MTCH2/EMC1/DOLK
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE,WP_NONALCOHOLIC_FATTY_LIVER_DISEASE,52,0.332222539,2.377876555,0.001239157,0.020256813,0.013585457,770,"tags=90%, list=59%, signal=38%",SREBF1/SOCS3/SMAD7/NDUFV2/PIK3R1/GSK3B/PIK3CB/IRS2/NDUFA3/NDUFA2/NDUFC1/NDUFA10/NDUFA4/PIK3CA/NDUFC2/TRAF2/JUN/NDUFB2/SDHD/NDUFS8/UQCR10/NDUFA1/COX7C/UQCRB/NDUFB6/NDUFS5/NDUFB8/NDUFB11/NDUFA11/COX4I1/NDUFA8/NDUFA6/RELA/NDUFA9/ATF4/UQCRC2/NDUFS3/NDUFB7/COX6A1/NDUFB3/NDUFS2/NDUFS7/COX5A/NDUFB9/COX6C/NDUFB10/CYC1
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,48,0.342376908,2.374298985,0.001243781,0.020256813,0.013585457,770,"tags=92%, list=59%, signal=39%",COX18/NDUFAF6/NDUFV2/NDUFA3/NDUFA2/NDUFAF4/NDUFC1/NDUFAF3/SCO2/NDUFA10/NDUFA4/NDUFC2/NDUFB2/SDHD/NDUFS8/UQCR10/NDUFA1/COX7C/UQCRB/NDUFB6/NDUFS5/NDUFB8/COX19/NDUFAF1/NDUFAF7/NDUFB11/NDUFA11/COX4I1/NDUFA8/NDUFA6/NDUFA9/UQCRC2/NDUFS3/NDUFB7/COX6A1/NDUFB3/NDUFS2/NDUFS7/COX5A/COX11/NDUFB9/COX6C/NDUFB10/CYC1
WP_PI3KAKT_SIGNALING_PATHWAY,WP_PI3KAKT_SIGNALING_PATHWAY,47,0.370430534,2.537887371,0.001253133,0.020256813,0.013585457,352,"tags=60%, list=27%, signal=45%",CDKN1A/ITGA3/TP53/TSC1/PTEN/ITGB1/TSC2/CCNE1/CSH2/PPP2R2A/IKBKG/SOS1/RAF1/FGFR1/MYB/MAPK1/ITGAV/EGFR/PTK2/CCND2/NRAS/STK11/PIK3R1/ITGB5/GSK3B/PIK3CB/PKN2/HSP90AB1
DOUGLAS_BMI1_TARGETS_UP,DOUGLAS_BMI1_TARGETS_UP,45,0.316567494,2.138473021,0.001256281,0.020256813,0.013585457,433,"tags=60%, list=33%, signal=41%",UGCG/TCF3/PCGF1/TLN1/TEAD1/SLC16A1/KMT2A/SLC2A1/SREBF1/BCL9/XYLT2/MYB/CARM1/LRP8/XPR1/FASN/TIPARP/SPTLC1/ITGB5/IRS2/CYB5B/MGAT1/CNIH4/UXS1/UGP2/ATG9A/GRK2
KEGG_FOCAL_ADHESION,KEGG_FOCAL_ADHESION,40,0.398068924,2.556298213,0.001283697,0.020256813,0.013585457,314,"tags=60%, list=24%, signal=47%",ITGA3/PTEN/ITGB1/BCAR1/BRAF/CRK/PXN/TLN1/PAK2/ERBB2/SHC1/SOS1/RAF1/ROCK2/MAPK1/ITGAV/EGFR/PTK2/CCND2/PIK3R1/CTNNB1/ITGB5/GSK3B/PIK3CB
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,40,0.400696631,2.573172684,0.001283697,0.020256813,0.013585457,314,"tags=60%, list=24%, signal=47%",ARHGEF7/ITGA3/GNA13/BRK1/ITGB1/BCAR1/BRAF/CRK/PXN/PAK2/CSK/SOS1/RAF1/ROCK2/FGFR1/MAPK1/ITGAV/EGFR/PTK2/NRAS/PIK3R1/MYH9/ITGB5/PIK3CB
WP_FOCAL_ADHESION,WP_FOCAL_ADHESION,40,0.398068924,2.556298213,0.001283697,0.020256813,0.013585457,314,"tags=60%, list=24%, signal=47%",ITGA3/PTEN/ITGB1/BCAR1/BRAF/CRK/PXN/TLN1/PAK2/ERBB2/SHC1/SOS1/RAF1/ROCK2/MAPK1/ITGAV/EGFR/PTK2/CCND2/PIK3R1/CTNNB1/ITGB5/GSK3B/PIK3CB
WP_FOCAL_ADHESIONPI3KAKTMTORSIGNALING_PATHWAY,WP_FOCAL_ADHESIONPI3KAKTMTORSIGNALING_PATHWAY,41,0.424895227,2.738128178,0.001287001,0.020256813,0.013585457,359,"tags=66%, list=28%, signal=49%",CDKN1A/ITGA3/TSC1/PTEN/ITGB1/TSC2/FOXA1/SLC2A1/CAB39/SREBF1/IKBKG/SOS1/RAF1/FGFR1/MAPK1/ITGAV/EGFR/PTK2/NRAS/STK11/PIK3R1/ITGB5/GSK3B/PIK3CB/IRS2/HSP90AB1/RAB10
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3,37,0.381020301,2.386130747,0.001293661,0.020256813,0.013585457,341,"tags=59%, list=26%, signal=45%",GAB1/ISL1/CDH1/ASCL1/FLI1/RUNX1/DUSP4/DOCK5/ERBB2/TCF7L2/SOX2/MYCN/WWTR1/SOX9/MYB/NFE2L2/EGFR/ARHGAP29/ERBB3/CBFB/ITGB5/FOSL1
WP_TGFBETA_SIGNALING_PATHWAY,WP_TGFBETA_SIGNALING_PATHWAY,35,0.428101161,2.61117994,0.001315789,0.020256813,0.013585457,331,"tags=63%, list=26%, signal=48%",CDKN1A/TGFBR1/TP53/ITGB1/ZEB1/BCAR1/PAK2/SHC1/YAP1/MAPK14/JUNB/SOS1/SMAD7/RAF1/TGIF1/ZEB2/MAPK1/CREBBP/PTK2/MEF2C/PIK3R1/MAP3K7
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN,DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN,38,0.406050716,2.540477298,0.001317523,0.020256813,0.013585457,663,"tags=89%, list=51%, signal=45%",CDKN1A/ATP2B1/GAB1/SLC35A1/TP63/SNAI2/FERMT2/DUSP4/CDH2/ERBB2/CAB39/JUNB/WWTR1/ROCK2/ITGAV/AHR/MAP4K4/MYH9/FCHO2/KLF5/EXT1/UGP2/JUN/ZFP36L1/ACSL3/ZNF217/TFAP2A/ARID4B/CDK6/NAMPT/VPS54/UBA5/SLC4A7/UBE2H
HAN_SATB1_TARGETS_DN,HAN_SATB1_TARGETS_DN,30,0.398120471,2.299167148,0.001319261,0.020256813,0.013585457,413,"tags=67%, list=32%, signal=47%",ITGA3/PXN/CDH2/SLC16A1/ERBB2/TCF7L2/CCNE1/PCM1/RABIF/VPS4A/GCN1/TPK1/EGFR/ERBB3/SLC33A1/PPME1/SQLE/DDX19A/NDUFAF4/ATMIN
REACTOME_COMPLEX_I_BIOGENESIS,REACTOME_COMPLEX_I_BIOGENESIS,30,0.387401987,2.237267327,0.001319261,0.020256813,0.013585457,766,"tags=97%, list=59%, signal=41%",NDUFAF6/NDUFV2/NDUFA3/NDUFA2/NDUFAF4/NDUFC1/NDUFAF3/NDUFA10/NDUFC2/NDUFB2/NDUFS8/NDUFA1/NDUFB6/NDUFS5/NDUFB8/NDUFAF1/NDUFAF7/NDUFB11/NDUFA11/NDUFA8/NDUFA6/NDUFA9/NDUFS3/NDUFB7/NDUFB3/NDUFS2/NDUFS7/NDUFB9/NDUFB10
WP_SIGNALING_PATHWAYS_IN_GLIOBLASTOMA,WP_SIGNALING_PATHWAYS_IN_GLIOBLASTOMA,30,0.464537098,2.682726747,0.001319261,0.020256813,0.013585457,314,"tags=67%, list=24%, signal=52%",CDKN1A/GAB1/TP53/TSC1/PTEN/TSC2/NF1/BRAF/ERBB2/CCNE1/RAF1/FGFR1/MAPK1/EGFR/CCND2/ERBB3/E2F1/NRAS/PIK3R1/PIK3CB
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN,32,0.408623837,2.414585802,0.00132626,0.020256813,0.013585457,372,"tags=66%, list=29%, signal=48%",KIRREL1/FERMT1/ITGB1/TP63/SNAI2/CRK/DOCK5/SLC16A1/FDFT1/REXO2/SMCHD1/YAP1/WWTR1/NFE2L2/EGFR/MAP4K4/IRS2/KLF5/PKN2/FOSL1/EXT1
KEGG_MAPK_SIGNALING_PATHWAY,KEGG_MAPK_SIGNALING_PATHWAY,32,0.436585775,2.579814782,0.00132626,0.020256813,0.013585457,646,"tags=91%, list=50%, signal=47%",TGFBR1/TP53/TAOK1/NF1/BRAF/CRK/DUSP4/PAK2/MAPK14/IKBKG/SOS1/RAF1/FGFR1/MAPK1/EGFR/MAP4K4/NRAS/MEF2C/MAP3K7/CDC25B/CHP1/DAXX/TRAF2/JUN/RAC3/LAMTOR3/RELA/ATF4/CRKL
KEGG_PROSTATE_CANCER,KEGG_PROSTATE_CANCER,32,0.42096397,2.487504481,0.00132626,0.020256813,0.013585457,352,"tags=66%, list=27%, signal=49%",CDKN1A/TP53/PTEN/BRAF/ERBB2/TCF7L2/CCNE1/IKBKG/SOS1/RAF1/FGFR1/MAPK1/CREBBP/EGFR/E2F1/NRAS/PIK3R1/CTNNB1/GSK3B/PIK3CB/HSP90AB1
WP_EGFEGFR_SIGNALING_PATHWAY,WP_EGFEGFR_SIGNALING_PATHWAY,32,0.410830673,2.427626147,0.00132626,0.020256813,0.013585457,299,"tags=59%, list=23%, signal=47%",GAB1/PTEN/BCAR1/BRAF/CRK/ARF6/ERBB2/SHC1/MAPK14/CSK/SOS1/RAF1/MAPK1/EGFR/PTK2/E2F1/MEF2C/RICTOR/PIK3R1
WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA,32,0.417347493,2.466134473,0.00132626,0.020256813,0.013585457,314,"tags=62%, list=24%, signal=49%",CDKN1A/GAB1/TP53/TSC1/PTEN/TP63/TSC2/ERBB2/FGFR1/NFE2L2/EGFR/E2F1/NRAS/RICTOR/KEAP1/STK11/PIK3R1/CTNNB1/FADD/PIK3CB
WP_BREAST_CANCER_PATHWAY,WP_BREAST_CANCER_PATHWAY,31,0.42897063,2.494995876,0.001331558,0.020256813,0.013585457,540,"tags=81%, list=42%, signal=48%",CDKN1A/TP53/PTEN/BRAF/ERBB2/SHC1/TCF7L2/CSNK2A1/SOS1/RAF1/FGFR1/MAPK1/EGFR/E2F1/NRAS/PIK3R1/CTNNB1/GSK3B/SP1/PIK3CA/JUN/APC/MRE11/CDK6/E2F3
WP_INSULIN_SIGNALING,WP_INSULIN_SIGNALING,31,0.454101695,2.641164166,0.001331558,0.020256813,0.013585457,331,"tags=68%, list=26%, signal=52%",GAB1/TSC1/PTEN/TSC2/CRK/PTPN1/ARF6/SLC2A1/SHC1/MAPK14/SOCS3/SOS1/RAF1/CAP1/MAPK1/MAP4K4/PIK3R1/GSK3B/PIK3CB/IRS2/MAP3K7
WP_MAPK_SIGNALING_PATHWAY,WP_MAPK_SIGNALING_PATHWAY,31,0.433747476,2.522779154,0.001331558,0.020256813,0.013585457,646,"tags=90%, list=50%, signal=46%",TGFBR1/TP53/TAOK1/NF1/BRAF/CRK/DUSP4/PAK2/MAPK14/IKBKG/SOS1/RAF1/FGFR1/MAPK1/EGFR/MAP4K4/NRAS/MEF2C/MAP3K7/CDC25B/DAXX/TRAF2/JUN/RAC3/LAMTOR3/RELA/ATF4/CRKL
WP_REGULATION_OF_ACTIN_CYTOSKELETON,WP_REGULATION_OF_ACTIN_CYTOSKELETON,31,0.419926063,2.442390506,0.001331558,0.020256813,0.013585457,547,"tags=81%, list=42%, signal=48%",ARHGEF7/GNA13/BRK1/BCAR1/BRAF/CRK/PXN/PAK2/CSK/SOS1/RAF1/ROCK2/FGFR1/MAPK1/EGFR/PTK2/NRAS/PIK3R1/PIK3CB/VCL/ACTG1/PIK3CA/APC/NCKAP1/RAC3
SMID_BREAST_CANCER_BASAL_DN,SMID_BREAST_CANCER_BASAL_DN,27,0.456877647,2.520095742,0.001356852,0.020256813,0.013585457,271,"tags=63%, list=21%, signal=51%",NF1/GATA3/KRT18/ASCL1/UGCG/DLG5/DUSP4/SPTLC2/ERBB2/MON2/SREBF1/ALG12/MED24/COG7/MYB/FASN/ERBB3
WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM,27,0.383062593,2.112938585,0.001356852,0.020256813,0.013585457,766,"tags=96%, list=59%, signal=40%",NDUFAF6/NDUFV2/FOXRED1/NDUFA3/NDUFA2/NDUFAF4/NDUFC1/NDUFAF3/NDUFA10/NDUFC2/NDUFB2/NDUFA1/NDUFB6/NDUFS5/NDUFB8/NDUFAF1/NDUFAF7/NDUFB11/NDUFA8/NDUFA6/NDUFS3/NDUFB7/NDUFB3/NDUFS2/NDUFB9/NDUFB10
KEGG_INSULIN_SIGNALING_PATHWAY,KEGG_INSULIN_SIGNALING_PATHWAY,28,0.435292163,2.436065898,0.001358696,0.020256813,0.013585457,319,"tags=64%, list=25%, signal=50%",TSC1/TSC2/BRAF/CRK/PTPN1/SHC1/SREBF1/SOCS3/SOS1/RAF1/MAPK1/FASN/NRAS/PRKAR1A/PIK3R1/GSK3B/PIK3CB/IRS2
WP_DNA_DAMAGE_RESPONSE_ONLY_ATM_DEPENDENT,WP_DNA_DAMAGE_RESPONSE_ONLY_ATM_DEPENDENT,29,0.409754946,2.318356979,0.001362398,0.020256813,0.013585457,547,"tags=79%, list=42%, signal=47%",CDKN1A/TP53/LDLR/PTEN/ERBB2/SHC1/TCF7L2/SOS1/BCL6/MAPK1/CCND2/NRAS/PIK3R1/CTNNB1/GSK3B/PIK3CB/MAP3K7/FOSL1/PIK3CA/JUN/APC/CCND3/RAC3
WP_GASTRIN_SIGNALING_PATHWAY,WP_GASTRIN_SIGNALING_PATHWAY,29,0.408853184,2.313254887,0.001362398,0.020256813,0.013585457,627,"tags=86%, list=48%, signal=46%",CDKN1A/ITGB1/CDH1/BCAR1/CRK/PXN/SHC1/MAPK14/SOS1/RAF1/MAPK1/EGFR/PTK2/MEF2C/PIK3R1/CTNNB1/GSK3B/SP1/PIK3CA/JUN/ELAVL1/BIRC2/LAMTOR3/CCND1/RELA
KIM_WT1_TARGETS_UP,KIM_WT1_TARGETS_UP,26,0.428351538,2.312036967,0.001369863,0.020256813,0.013585457,393,"tags=69%, list=30%, signal=49%",ATP2B1/KCTD5/ZEB1/SNAI2/GLS/FERMT2/CDH2/JUNB/SLC7A1/WWTR1/SOX9/CHD7/ARHGAP29/CBFB/SLC20A1/FOSL1/VCL/ACTG1
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,26,0.409296677,2.209187927,0.001369863,0.020256813,0.013585457,314,"tags=62%, list=24%, signal=48%",GNA13/BCAR1/CRK/PTPN1/TLN1/MANF/SHC1/MAPK14/CSK/SOS1/RAF1/CAP1/MAPK1/PTK2/PIK3R1/PIK3CB
DELYS_THYROID_CANCER_UP,DELYS_THYROID_CANCER_UP,22,0.467732735,2.363855039,0.00137931,0.020256813,0.013585457,398,"tags=73%, list=31%, signal=51%",CDKN1A/ITGA3/MED13/RUNX1/DUSP4/CDH2/SH3GL1/BCL9/UBE2A/CCND2/TIPARP/ERBB3/MAP4K4/ITGB5/SLC7A5/FLII
KEGG_ADHERENS_JUNCTION,KEGG_ADHERENS_JUNCTION,22,0.502238876,2.538244196,0.00137931,0.020256813,0.013585457,393,"tags=77%, list=30%, signal=55%",TGFBR1/CTNNA1/CDH1/SNAI2/PTPN1/PARD3/ERBB2/TCF7L2/CSNK2A1/FGFR1/MAPK1/CREBBP/EGFR/CTNNB1/MAP3K7/VCL/ACTG1
KEGG_ENDOMETRIAL_CANCER,KEGG_ENDOMETRIAL_CANCER,22,0.519406113,2.625004982,0.00137931,0.020256813,0.013585457,314,"tags=73%, list=24%, signal=56%",TP53/PTEN/CTNNA1/CDH1/BRAF/ERBB2/TCF7L2/SOS1/RAF1/MAPK1/EGFR/NRAS/PIK3R1/CTNNB1/GSK3B/PIK3CB
KEGG_ERBB_SIGNALING_PATHWAY,KEGG_ERBB_SIGNALING_PATHWAY,22,0.563837174,2.849553275,0.00137931,0.020256813,0.013585457,314,"tags=77%, list=24%, signal=60%",CDKN1A/GAB1/BRAF/CRK/PAK2/ERBB2/SHC1/SOS1/RAF1/MAPK1/EGFR/PTK2/ERBB3/NRAS/PIK3R1/GSK3B/PIK3CB
MCBRYAN_PUBERTAL_BREAST_6_7WK_UP,MCBRYAN_PUBERTAL_BREAST_6_7WK_UP,22,0.485287659,2.45257514,0.00137931,0.020256813,0.013585457,299,"tags=68%, list=23%, signal=53%",TGFBR1/PTEN/TAOK1/KDM5C/RUNX1/MAPK14/EGLN1/CSNK2A1/SOX9/ZEB2/CCND2/MEF2C/KEAP1/PPP6R3/PIK3R1
WONG_ADULT_TISSUE_STEM_MODULE,WONG_ADULT_TISSUE_STEM_MODULE,22,0.492544048,2.489247904,0.00137931,0.020256813,0.013585457,175,"tags=59%, list=13%, signal=52%",CDKN1A/ZEB1/GATA3/FOXA1/FERMT2/DUSP4/CDH2/KMT2A/TP53BP1/JUNB/MYCN/SOCS3/SMAD7
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,22,0.464175719,2.345878388,0.00137931,0.020256813,0.013585457,331,"tags=68%, list=26%, signal=52%",GAB1/BRAF/CRK/IRF4/SHC1/MAPK14/IKBKG/SOS1/RAF1/BCL6/MAPK1/MEF2C/PIK3R1/GSK3B/MAP3K7
WP_INTEGRINMEDIATED_CELL_ADHESION,WP_INTEGRINMEDIATED_CELL_ADHESION,22,0.613745768,3.101784244,0.00137931,0.020256813,0.013585457,242,"tags=77%, list=19%, signal=64%",ARHGEF7/ITGA3/ITGB1/BCAR1/BRAF/CRK/PXN/TLN1/PAK2/SHC1/CSK/SOS1/RAF1/ROCK2/MAPK1/ITGAV/PTK2
BENPORATH_ES_WITH_H3K27ME3,BENPORATH_ES_WITH_H3K27ME3,21,0.570449639,2.811782885,0.0013947,0.020256813,0.013585457,232,"tags=71%, list=18%, signal=60%",ARHGEF7/ISL1/HOXD13/GATA3/SNAI2/ASCL1/FLI1/IRF4/DUSP4/PAX8/ZBTB7A/SOX9/ZEB2/MYB/DPY19L2
WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,WP_EGFR_TYROSINE_KINASE_INHIBITOR_RESISTANCE,21,0.509196048,2.509860002,0.0013947,0.020256813,0.013585457,314,"tags=71%, list=24%, signal=55%",GAB1/PTEN/NF1/BRAF/ERBB2/SHC1/SOS1/RAF1/MAPK1/EGFR/ERBB3/NRAS/PIK3R1/GSK3B/PIK3CB
WP_PROLACTIN_SIGNALING_PATHWAY,WP_PROLACTIN_SIGNALING_PATHWAY,21,0.505329373,2.490800913,0.0013947,0.020256813,0.013585457,319,"tags=71%, list=25%, signal=55%",ITGB1/PTPN1/PXN/ERBB2/SHC1/MAPK14/SOCS3/SOS1/RAF1/MAPK1/PTK2/PIK3R1/GSK3B/PIK3CB/IRS2
